,city,temp,humidity,wind,clouds,latitude,longitude
0,batagay-alyta,0.05,58,0.68,0,67.8,130.41
1,sistranda,9.56,87,7.2,0,63.73,8.83
2,mazamari,4.35,94,0.35,99,-11.33,-74.53
3,lima,17.0,88,4.6,90,-12.06,-77.04
4,bredasdorp,8.81,87,2.1,43,-34.53,20.04
5,atuona,26.25,79,9.53,37,-9.8,-139.03
6,punta arenas,8.95,81,2.1,75,-53.16,-70.91
7,kodumudi,25.85,72,3.57,100,11.08,77.89
8,hilo,23.07,66,4.1,90,19.71,-155.08
9,barrow,10.75,87,2.99,0,-38.31,-60.23
10,boyolangu,30.45,46,1.98,70,-8.09,111.9
11,mataura,9.44,78,6.26,58,-46.19,168.86
12,leshan,16.05,93,0.7,100,29.56,103.76
13,dunedin,9.25,71,8.57,46,-45.87,170.5
14,port hardy,12.0,87,4.1,75,50.7,-127.42
15,vaini,22.51,94,0.72,75,15.34,74.49
16,upernavik,3.05,89,3.08,100,72.79,-56.15
17,fortuna,15.84,87,5.1,1,40.6,-124.16
18,yellowknife,6.84,70,5.7,75,62.45,-114.38
19,port hedland,27.0,32,7.7,67,-20.31,118.58
20,lorengau,29.85,64,1.45,90,-2.02,147.27
21,ushuaia,6.0,87,3.1,20,-54.81,-68.31
22,souillac,15.6,93,2.6,100,45.6,-0.6
23,bathsheba,26.0,88,6.7,75,13.22,-59.52
24,goderich,16.54,92,3.58,75,43.74,-81.71
25,lubao,24.25,67,0.87,0,-5.39,25.75
26,new norfolk,13.91,44,7.2,75,-42.78,147.06
27,tilichiki,7.35,90,2.37,100,60.47,166.1
28,east london,9.65,85,2.93,0,-33.02,27.91
29,salvador,26.0,69,4.1,40,-12.98,-38.48
30,rafaela,14.05,55,0.45,0,-31.25,-61.49
31,isangel,27.0,54,4.1,75,-19.55,169.27
32,rikitea,20.85,73,6.41,49,-23.12,-134.97
33,erzin,17.17,68,4.1,0,36.95,36.2
34,alice springs,11.0,87,2.1,90,-23.7,133.88
35,airai,29.75,54,2.7,15,-8.93,125.41
36,mount gambier,13.0,71,5.7,75,-37.83,140.78
37,kununurra,31.0,19,7.2,0,-15.77,128.74
38,cabo san lucas,27.17,78,8.7,5,22.89,-109.91
39,ranipur,24.25,87,3.35,93,25.25,79.06
40,leningradskiy,3.55,82,6.31,100,69.38,178.42
41,calvinia,10.95,39,2.92,0,-31.47,19.78
42,port alfred,13.33,76,1.34,0,-33.59,26.89
43,zaranj,19.0,45,4.1,0,30.95,61.86
44,ponta delgada,20.47,82,0.5,20,37.73,-25.67
45,padang,27.0,83,2.1,40,-0.92,100.36
46,high rock,25.45,77,6.24,0,26.63,-78.28
47,klaksvik,11.0,100,9.3,85,62.23,-6.59
48,iqaluit,1.84,74,3.6,75,63.75,-68.52
49,rio gallegos,11.0,66,3.6,0,-51.62,-69.22
50,albany,18.25,100,4.6,90,42.65,-73.75
51,kapaa,27.13,94,2.1,90,22.08,-159.32
52,ponta do sol,16.25,68,4.63,2,-20.63,-46.0
53,hasaki,27.92,74,2.6,75,35.73,140.83
54,ciudad bolivar,23.05,88,2.26,100,8.12,-63.55
55,puerto ayora,20.0,91,2.24,3,-0.74,-90.35
56,rocha,7.15,93,2.89,0,-34.48,-54.34
57,chokurdakh,0.35,62,1.15,99,70.62,147.9
58,avarua,22.0,73,3.1,99,-21.21,-159.78
59,touros,22.0,94,1.5,75,-5.2,-35.46
60,karlstad,4.38,100,1.5,31,59.38,13.5
61,banda aceh,28.05,74,2.38,0,5.56,95.32
62,kahului,26.74,62,7.2,75,20.89,-156.47
63,nara,23.83,78,2.1,75,34.68,135.8
64,formosa,21.55,58,5.36,27,-15.55,-47.33
65,alofi,24.0,53,7.2,75,-19.06,-169.92
66,ouadda,20.65,92,0.25,100,8.07,22.4
67,japura,27.65,84,1.46,86,-0.42,102.29
68,waipawa,10.0,89,0.89,87,-39.94,176.59
69,sirsilla,25.85,83,0.69,100,18.39,78.81
70,saskylakh,3.65,53,10.06,100,71.97,114.09
71,kavaratti,28.0,83,2.1,40,10.57,72.64
72,ilulissat,3.0,86,1.5,100,69.22,-51.1
73,busselton,23.11,31,6.7,0,-33.64,115.35
74,honiara,30.0,66,5.1,75,-9.43,159.96
75,flinders,19.55,29,4.1,0,-34.58,150.85
76,butaritari,29.65,68,5.1,20,3.07,172.79
77,moratuwa,24.0,94,4.6,75,6.77,79.88
78,lompoc,15.54,93,4.75,90,34.64,-120.46
79,castro,9.0,93,2.1,75,-42.48,-73.76
80,victoria,32.55,49,4.6,75,5.28,115.24
81,sao filipe,27.05,87,8.12,100,14.9,-24.5
82,vardo,21.65,73,4.6,40,39.62,-77.74
83,milan,11.82,100,2.1,59,45.47,9.19
84,lagoa,17.59,77,1.0,0,37.14,-8.45
85,chumikan,7.55,45,4.78,95,54.72,135.31
86,bambous virieux,21.35,68,7.2,75,-20.34,57.76
87,faanui,26.75,79,5.22,40,-16.48,-151.75
88,chuy,10.95,82,4.29,42,-33.69,-53.46
89,bluff,29.65,20,6.95,5,-23.58,149.07
90,severo-kurilsk,9.95,84,9.89,100,50.68,156.12
91,margate,13.91,44,7.2,75,-43.03,147.26
92,bilma,28.25,20,5.31,0,18.69,12.92
93,marawi,29.44,71,2.24,58,8.0,124.29
94,esna,14.0,54,2.1,75,45.2,27.57
95,huarmey,16.15,95,5.26,100,-10.07,-78.15
96,sitka,23.33,74,7.6,1,37.17,-99.65
97,arraial do cabo,18.65,75,6.43,100,-22.97,-42.02
98,cherskiy,1.65,68,1.52,96,68.75,161.3
99,todos santos,27.16,74,5.1,20,23.45,-110.23
100,sao joao da barra,15.75,86,1.77,92,-21.64,-41.05
101,roma,15.48,93,1.0,0,41.89,12.48
102,hermanus,12.54,94,2.24,0,-34.42,19.24
103,ocampo,21.65,76,3.0,63,27.32,-102.4
104,caravelas,22.25,69,9.49,94,-17.73,-39.27
105,torbay,14.36,100,9.8,90,47.66,-52.73
106,sao jose da coroa grande,20.75,95,1.88,38,-8.9,-35.15
107,sorland,9.05,53,2.79,98,67.67,12.69
108,macia,18.75,81,4.5,100,-25.03,33.09
109,aklavik,4.0,100,1.5,90,68.22,-135.01
110,tautira,27.88,69,7.7,40,-17.73,-149.15
111,lianyuan,25.55,38,2.19,97,27.69,111.67
112,sembakung,30.0,70,2.1,75,3.82,117.25
113,dingle,30.15,70,3.08,18,11.0,122.67
114,port elizabeth,24.79,61,2.6,90,39.31,-74.98
115,provideniya,4.0,60,2.0,40,64.42,-173.23
116,norman wells,9.0,61,2.6,75,65.28,-126.83
117,hoquiam,14.6,100,3.1,90,46.98,-123.89
118,vao,5.95,74,2.04,100,59.1,26.19
119,yuci,19.0,52,1.0,0,37.68,112.73
120,terenos,25.0,57,6.7,0,-20.44,-54.87
121,konjic,15.51,100,3.1,75,43.65,17.96
122,hamilton,16.78,82,3.1,75,43.26,-79.87
123,la ronge,13.0,58,6.2,75,55.1,-105.3
124,vacaria,12.22,71,0.45,64,-28.51,-50.94
125,nouakchott,27.0,78,6.2,0,18.08,-15.98
126,morehead,20.12,64,2.6,90,38.18,-83.43
127,thanh hoa,30.0,79,4.6,20,10.21,106.33
128,cape town,15.08,58,7.2,0,-33.93,18.42
129,clyde river,-1.0,86,2.6,75,70.47,-68.59
130,parnamirim,23.91,83,5.7,40,-5.92,-35.27
131,korgen,-1.09,100,2.22,78,66.08,13.83
132,chiradzulu,18.45,55,0.81,0,-15.7,35.18
133,vari,20.02,82,2.1,0,37.83,23.8
134,hithadhoo,27.85,77,6.4,100,-0.6,73.08
